Band,BandName,WVL,IsBad
1,band_1,366,1
2,band_2,376,1
3,band_3,385,1
4,band_4,395,1
5,band_5,405,1
6,band_6,414,0
7,band_7,424,0
8,band_8,434,0
9,band_9,443,0
10,band_10,453,0
11,band_11,463,0
12,band_12,472,0
13,band_13,482,0
14,band_14,492,0
15,band_15,502,0
16,band_16,511,0
17,band_17,521,0
18,band_18,531,0
19,band_19,541,0
20,band_20,550,0
21,band_21,560,0
22,band_22,570,0
23,band_23,580,0
24,band_24,589,0
25,band_25,599,0
26,band_26,609,0
27,band_27,619,0
28,band_28,628,0
29,band_29,638,0
30,band_30,648,0
31,band_31,655,0
32,band_32,658,0
33,band_33,665,0
34,band_34,668,0
35,band_35,675,0
36,band_36,685,0
37,band_37,694,0
38,band_38,704,0
39,band_39,714,0
40,band_40,724,0
41,band_41,734,0
42,band_42,743,0
43,band_43,753,0
44,band_44,763,0
45,band_45,773,0
46,band_46,782,0
47,band_47,792,0
48,band_48,802,0
49,band_49,812,0
50,band_50,821,0
51,band_51,831,0
52,band_52,841,0
53,band_53,850,0
54,band_54,860,0
55,band_55,870,0
56,band_56,880,0
57,band_57,889,0
58,band_58,899,0
59,band_59,909,0
60,band_60,918,0
61,band_61,928,0
62,band_62,938,0
63,band_63,947,0
64,band_64,957,0
65,band_65,967,0
66,band_66,976,0
67,band_67,986,0
68,band_68,995,0
69,band_69,1005,0
70,band_70,1015,0
71,band_71,1024,0
72,band_72,1034,0
73,band_73,1044,0
74,band_74,1053,0
75,band_75,1063,0
76,band_76,1072,0
77,band_77,1082,0
78,band_78,1091,0
79,band_79,1101,0
80,band_80,1111,0
81,band_81,1120,0
82,band_82,1130,0
83,band_83,1139,0
84,band_84,1149,0
85,band_85,1158,0
86,band_86,1168,0
87,band_87,1177,0
88,band_88,1187,0
89,band_89,1196,0
90,band_90,1206,0
91,band_91,1215,0
92,band_92,1225,0
93,band_93,1235,0
94,band_94,1244,0
95,band_95,1253,0
96,band_96,1253,0
97,band_97,1263,0
98,band_98,1263,0
99,band_99,1273,0
100,band_100,1283,0
101,band_101,1293,0
102,band_102,1303,0
103,band_103,1313,1
104,band_104,1323,1
105,band_105,1333,1
106,band_106,1343,1
107,band_107,1353,1
108,band_108,1363,1
109,band_109,1373,1
110,band_110,1383,1
111,band_111,1393,1
112,band_112,1403,1
113,band_113,1413,1
114,band_114,1423,1
115,band_115,1433,1
116,band_116,1443,1
117,band_117,1453,1
118,band_118,1463,0
119,band_119,1473,0
120,band_120,1483,0
121,band_121,1493,0
122,band_122,1503,0
123,band_123,1513,0
124,band_124,1523,0
125,band_125,1533,0
126,band_126,1542,0
127,band_127,1552,0
128,band_128,1562,0
129,band_129,1572,0
130,band_130,1582,0
131,band_131,1592,0
132,band_132,1602,0
133,band_133,1612,0
134,band_134,1622,0
135,band_135,1632,0
136,band_136,1642,0
137,band_137,1652,0
138,band_138,1662,0
139,band_139,1672,0
140,band_140,1682,0
141,band_141,1692,0
142,band_142,1702,0
143,band_143,1712,0
144,band_144,1722,0
145,band_145,1732,0
146,band_146,1742,0
147,band_147,1752,0
148,band_148,1762,0
149,band_149,1772,0
150,band_150,1782,1
151,band_151,1792,1
152,band_152,1802,1
153,band_153,1811,1
154,band_154,1821,1
155,band_155,1831,1
156,band_156,1841,1
157,band_157,1851,1
158,band_158,1861,1
159,band_159,1868,1
160,band_160,1871,1
161,band_161,1873,1
162,band_162,1878,1
163,band_163,1888,1
164,band_164,1898,1
165,band_165,1908,1
166,band_166,1918,1
167,band_167,1928,1
168,band_168,1938,1
169,band_169,1948,1
170,band_170,1958,1
171,band_171,1968,1
172,band_172,1978,1
173,band_173,1988,1
174,band_174,1998,1
175,band_175,2008,1
176,band_176,2018,1
177,band_177,2028,0
178,band_178,2038,0
179,band_179,2048,0
180,band_180,2058,0
181,band_181,2068,0
182,band_182,2078,0
183,band_183,2088,0
184,band_184,2099,0
185,band_185,2109,0
186,band_186,2119,0
187,band_187,2129,0
188,band_188,2139,0
189,band_189,2149,0
190,band_190,2159,0
191,band_191,2169,0
192,band_192,2178,0
193,band_193,2188,0
194,band_194,2198,0
195,band_195,2208,0
196,band_196,2218,0
197,band_197,2228,0
198,band_198,2238,0
199,band_199,2248,0
200,band_200,2258,0
201,band_201,2268,0
202,band_202,2278,0
203,band_203,2288,0
204,band_204,2298,0
205,band_205,2308,0
206,band_206,2318,0
207,band_207,2328,0
208,band_208,2338,0
209,band_209,2348,0
210,band_210,2358,0
211,band_211,2368,0
212,band_212,2378,0
213,band_213,2388,0
214,band_214,2398,0
215,band_215,2408,0
216,band_216,2418,1
217,band_217,2428,1
218,band_218,2437,1
219,band_219,2447,1
220,band_220,2457,1
221,band_221,2467,1
222,band_222,2477,1
223,band_223,2487,1
224,band_224,2497,1
